site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
WatsonCreek,2,7759,Mini,20230604,09,216,219,Leiothlypis celata,Orange-crowned Warbler,0.7973,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,231,234,Leiothlypis celata,Orange-crowned Warbler,0.934,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,243,246,Leiothlypis celata,Orange-crowned Warbler,0.9803,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,255,258,Leiothlypis celata,Orange-crowned Warbler,0.9683,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,267,270,Leiothlypis celata,Orange-crowned Warbler,0.8039,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,276,279,Leiothlypis celata,Orange-crowned Warbler,0.6808,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,279,282,Leiothlypis celata,Orange-crowned Warbler,0.642,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,288,291,Leiothlypis celata,Orange-crowned Warbler,0.7337,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,0,3,Leiothlypis celata,Orange-crowned Warbler,0.8999,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_091500.wav
WatsonCreek,2,7759,Mini,20230604,09,12,15,Leiothlypis celata,Orange-crowned Warbler,0.9296,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_091500.wav
WatsonCreek,2,7759,Mini,20230604,09,171,174,Vireo gilvus,Warbling Vireo,0.6868,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_091500.wav
WatsonCreek,2,7759,Mini,20230604,09,129,132,Leiothlypis celata,Orange-crowned Warbler,0.5395,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_093000.wav
WatsonCreek,2,7759,Mini,20230604,09,135,138,Leiothlypis celata,Orange-crowned Warbler,0.9609,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_093000.wav
WatsonCreek,2,7759,Mini,20230604,09,150,153,Leiothlypis celata,Orange-crowned Warbler,0.6612,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_093000.wav
WatsonCreek,2,7759,Mini,20230604,09,162,165,Leiothlypis celata,Orange-crowned Warbler,0.5772,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_093000.wav
WatsonCreek,2,7759,Mini,20230604,09,186,189,Leiothlypis celata,Orange-crowned Warbler,0.9869,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_093000.wav
WatsonCreek,2,7759,Mini,20230604,09,213,216,Leiothlypis celata,Orange-crowned Warbler,0.9296,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_093000.wav
WatsonCreek,2,7759,Mini,20230604,09,267,270,Leiothlypis celata,Orange-crowned Warbler,0.5624,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_093000.wav
WatsonCreek,2,7759,Mini,20230604,09,276,279,Leiothlypis celata,Orange-crowned Warbler,0.5021,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_093000.wav
WatsonCreek,2,7759,Mini,20230604,09,288,291,Leiothlypis celata,Orange-crowned Warbler,0.8726,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_093000.wav
WatsonCreek,2,7759,Mini,20230604,09,45,48,Empidonax oberholseri,Dusky Flycatcher,0.8655,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_094500.wav
