site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
AxeLake,1,9126,BARLT,20230603,22,294,297,Porzana carolina,Sora,0.6271,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,297,300,Porzana carolina,Sora,0.6428,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,6,9,Porzana carolina,Sora,0.8295,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,18,21,Porzana carolina,Sora,0.8476,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,24,27,Porzana carolina,Sora,0.9167,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,27,30,Porzana carolina,Sora,0.9006,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,30,33,Porzana carolina,Sora,0.8569,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,33,36,Porzana carolina,Sora,0.8581,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,36,39,Porzana carolina,Sora,0.8755,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,42,45,Porzana carolina,Sora,0.7871,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,45,48,Porzana carolina,Sora,0.8479,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,51,54,Porzana carolina,Sora,0.6722,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,54,57,Porzana carolina,Sora,0.8904,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,57,60,Porzana carolina,Sora,0.928,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,60,63,Porzana carolina,Sora,0.7597,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,63,66,Porzana carolina,Sora,0.7897,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,69,72,Porzana carolina,Sora,0.8065,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,75,78,Porzana carolina,Sora,0.7943,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,78,81,Porzana carolina,Sora,0.8577,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,81,84,Porzana carolina,Sora,0.938,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,90,93,Porzana carolina,Sora,0.7025,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,93,96,Porzana carolina,Sora,0.6079,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T224000-0700_REC [+51.98389-122.06078].wav
