site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
LilypadLake,2,7836,Mini,20230606,02,234,237,Porzana carolina,Sora,0.971,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,237,240,Porzana carolina,Sora,0.9226,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,240,243,Porzana carolina,Sora,0.8692,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,243,246,Porzana carolina,Sora,0.8112,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,246,249,Porzana carolina,Sora,0.9417,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,249,252,Porzana carolina,Sora,0.6618,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,261,264,Porzana carolina,Sora,0.9903,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,264,267,Porzana carolina,Sora,0.6328,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,267,270,Porzana carolina,Sora,0.9147,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,270,273,Porzana carolina,Sora,0.744,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,276,279,Porzana carolina,Sora,0.6658,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,279,282,Porzana carolina,Sora,0.8761,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,282,285,Porzana carolina,Sora,0.8595,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
