site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
AxeLake,2,7859,Mini,20230607,08,153,156,Vireo gilvus,Warbling Vireo,0.6153,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230607_083000.wav
AxeLake,2,7859,Mini,20230607,09,162,165,Vireo gilvus,Warbling Vireo,0.5377,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230607_090000.wav
AxeLake,2,7859,Mini,20230607,09,159,162,Vireo gilvus,Warbling Vireo,0.6365,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230607_093000.wav
AxeLake,2,7859,Mini,20230608,02,279,282,Porzana carolina,Sora,0.5533,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230608_024500.wav
AxeLake,2,7859,Mini,20230608,07,132,135,Vireo gilvus,Warbling Vireo,0.7056,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230608_070000.wav
AxeLake,2,7859,Mini,20230608,07,264,267,Vireo gilvus,Warbling Vireo,0.6645,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230608_071500.wav
AxeLake,2,7859,Mini,20230608,09,207,210,Vireo gilvus,Warbling Vireo,0.5888,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230608_090000.wav
AxeLake,2,7859,Mini,20230608,23,129,132,Porzana carolina,Sora,0.71,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230608_234500.wav
AxeLake,2,7859,Mini,20230609,03,186,189,Chordeiles minor,Common Nighthawk,0.9865,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230609_033000.wav
AxeLake,2,7859,Mini,20230609,05,285,288,Myiarchus crinitus,Great Crested Flycatcher,0.6011,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230609_051500.wav
