site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
BaptisteMeadow,1,9742,BARLT,20230610,03,213,216,Porzana carolina,Sora,0.7218,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,222,225,Porzana carolina,Sora,0.914,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,225,228,Porzana carolina,Sora,0.9255,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,228,231,Porzana carolina,Sora,0.8842,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,231,234,Porzana carolina,Sora,0.8232,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,234,237,Porzana carolina,Sora,0.9557,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,237,240,Porzana carolina,Sora,0.8011,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,240,243,Porzana carolina,Sora,0.8256,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,246,249,Porzana carolina,Sora,0.7263,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,252,255,Porzana carolina,Sora,0.6398,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,255,258,Porzana carolina,Sora,0.5437,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,276,279,Porzana carolina,Sora,0.5876,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230610,03,285,288,Porzana carolina,Sora,0.7038,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230610_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230610T033000-0700_REC [+51.99530-122.54079].wav
